Date,BCOM Index,Unnamed: 2,Date.1,DXY Index,Unnamed: 5,Date.2,GLD Equity,Unnamed: 8,Date.3,LQD Equity,Unnamed: 11,Date.4,SPY Equity,Unnamed: 14,Date.5,TLT Equity
2015-01-02,103.8614,,2015-01-01,90.276,,2015-01-02,114.08,,2015-01-02,119.83,,2015-01-02,205.43,,2015-01-02,127.32
2015-01-05,103.873,,2015-01-02,91.08,,2015-01-05,115.8,,2015-01-05,120.32,,2015-01-05,201.72,,2015-01-05,129.32
2015-01-06,104.0825,,2015-01-05,91.378,,2015-01-06,117.12,,2015-01-06,120.81,,2015-01-06,199.82,,2015-01-06,131.65
2015-01-07,103.5252,,2015-01-06,91.499,,2015-01-07,116.43,,2015-01-07,120.97,,2015-01-07,202.31,,2015-01-07,131.39
2015-01-08,103.6365,,2015-01-07,91.89,,2015-01-08,115.94,,2015-01-08,120.58,,2015-01-08,205.9,,2015-01-08,129.65
2015-01-09,103.6223,,2015-01-08,92.368,,2015-01-09,117.26,,2015-01-09,120.9,,2015-01-09,204.25,,2015-01-09,131.07
2015-01-12,101.895,,2015-01-09,91.935,,2015-01-12,118.56,,2015-01-12,121.13,,2015-01-12,202.65,,2015-01-12,131.82
2015-01-13,101.2909,,2015-01-12,91.983,,2015-01-13,118.16,,2015-01-13,121.24,,2015-01-13,202.08,,2015-01-13,131.82
2015-01-14,102.3496,,2015-01-13,92.31,,2015-01-14,117.97,,2015-01-14,121.45,,2015-01-14,200.86,,2015-01-14,132.82
2015-01-15,101.7177,,2015-01-14,92.161,,2015-01-15,120.94,,2015-01-15,122.08,,2015-01-15,199.0199,,2015-01-15,134.91
2015-01-16,103.3062,,2015-01-15,92.352,,2015-01-16,122.52,,2015-01-16,121.4,,2015-01-16,201.63,,2015-01-16,133.19
2015-01-20,101.4993,,2015-01-16,92.52,,2015-01-20,124.2,,2015-01-20,121.68,,2015-01-20,202.055,,2015-01-20,134.96
2015-01-21,102.5472,,2015-01-19,92.52,,2015-01-21,124.23,,2015-01-21,121.63,,2015-01-21,203.08,,2015-01-21,133.4
2015-01-22,101.5883,,2015-01-20,93.046,,2015-01-22,125.23,,2015-01-22,121.57,,2015-01-22,206.1,,2015-01-22,132.92
2015-01-23,101.131,,2015-01-21,92.904,,2015-01-23,124.23,,2015-01-23,122.28,,2015-01-23,204.97,,2015-01-23,134.77
2015-01-26,100.745,,2015-01-22,94.077,,2015-01-26,122.99,,2015-01-26,122.25,,2015-01-26,205.45,,2015-01-26,134.36
2015-01-27,101.3211,,2015-01-23,94.762,,2015-01-27,124.4,,2015-01-27,122.34,,2015-01-27,202.74,,2015-01-27,134.57
2015-01-28,100.2513,,2015-01-26,94.802,,2015-01-28,123.42,,2015-01-28,123.17,,2015-01-28,200.14,,2015-01-28,136.77
2015-01-29,98.7629,,2015-01-27,94.022,,2015-01-29,120.76,,2015-01-29,122.88,,2015-01-29,201.9902,,2015-01-29,135.87
